425 	 1	 segja	 j24 	 {'(vbdi sagði', 'sagðir', 'sögðu', 'sagði', 'sagðist', 'seg$', 'sögðust', 'segðu', 'sagðir$', 'sögðuð', 'segði', 'sögðum'}
402 	 S	 koma	 1 	 {'komust', 'kæmu', 'kæmi', 'kom', 'komu', 'kemur$', 'kæmust', 'kæmist', 'komuð', 'komum', 'komst'}
343 	 S	 fara	 1 	 {'fór', 'færu', 'færi', 'fórs$', 'færir', 'fóru', 'fórum', 'fóruð', 'færum'}
264 	 S	 eiga	 24 	 {'ættir', 'ættir$', 'ætti', 'ættuð', 'áttum', 'átt', 'ættum', 'ættu', 'átti', 'áttu'}
228 	 S	 taka	 1 	 {'tók', 'tækju', 'tókust', 'tæki', 'tóku', 'tókst', 'tókum'}
202 	 S	 finna	 24 	 {'fann', 'fyndi', 'fyndist', 'fundum', 'fundu', 'fannst', 'fyndust', 'fundust', 'finst'}
157 	 S	 standa	 1 	 {'stóðst', 'stóðu', 'stæði', 'stæðu', '(vbdi stóð', 'stóð', 'stóðum'}
142 	 S	 sjá	 0j 	 {'sá', 'sást', 'sáum', 'sáust', 'sæi', 'sáu', 'sér$', 'sæju'}
127 	 S	 halda	 1 	 {'héldum', 'héldu', 'hélst', 'héldir', 'hélt', 'héls$', 'héldi'}
110 	 S	 vita	 24 	 {'vissi', 'veiz$', 'vissuð', 'vissir$', 'vissu'}
98 	 S	 láta	 1 	 {'lát$', 'létum', 'lét', 'lést', 'létu', 'léti', 'lézt'}
93 	 1	 horfa	 1 	 {'horfðust', 'horfði', 'horfðum', 'horfðir$', 'horfðu', 'horfðist', 'horfðumst'}
92 	 S	 fá	 0 	 {'fengju', 'fengust', 'fékks$', 'fengi', 'fengir', 'fékkst', 'fær$', 'fengum', 'fengu', 'fékk'}
92 	 1	 þykja	 j24 	 {'þætti', 'þóttist', 'þótti', 'þóttust', 'þóttu'}
90 	 S	 ganga	 1 	 {'$gengust', 'gekk', 'gekst', 'gengum', 'gakk', '$gengjust', 'gekkst', 'gengu', 'gengi'}
89 	 S	 líta	 2 	 {'litu', 'leist', '$litu', 'leit'}
86 	 1	 spyrja	 j24 	 {'spurðist', 'spurðir$', 'spurðu', 'spurðust', 'spur$', 'spurði'}
78 	 S	 liggja	 j24 	 {'lágum', 'lægju', 'lægi', 'lágu', 'lá'}
72 	 S	 sitja	 j24 	 {'sátu', 'sátum', 'sæti', 'sat'}
72 	 1	 leggja	 j24 	 {'lögðust', 'legðist', 'legðu', 'legði', 'lögðum', 'lagði', 'lögðu', 'lagðist'}
69 	 1	 reyna	 243 	 {'reyndum', 'reyndist', 'reyndi', 'reyn$', 'reyndu'}
66 	 S	 bera	 24 	 {'báru', 'bæru', 'bærust', 'barst', 'bæri', 'bar'}
66 	 2	 ætla	 23 	 {'ætluðum', 'ætlaði', 'ætluðu', 'ætlaðir'}
61 	 1	 setja	 j24 	 {'$setti', 'settust', 'settum', 'settu', 'setti', 'settist'}
60 	 1	 virða	 24 	 {'virtust', 'virtu', 'virtist', 'virti'}
60 	 1	 þurfa	 1 	 {'þyrftum', 'þurftum', 'þyrftu', 'þurfti', 'þyrfti', 'þurftu'}
59 	 1	 heyra	 243 	 {'heyr$', 'heyrði', 'heyrðist', 'heyrðu'}
54 	 2	 tala	 1 	 {'töluðu', 'töluðum', 'talaðist', 'talaði', 'töluðust'}
47 	 S	 líða	 2 	 {'leið', 'liðu', 'liði'}
45 	 2	 svara	 1 	 {'svöruðu', 'svaraði'}
45 	 2	 hugsa	 1 	 {'hugsuðu', 'hugsaðir', 'hugsaði'}
43 	 S	 kunna	 1 	 {'kynnu', 'kunnu', 'kunnum', 'kynnum', 'kunni', 'kynni'}
42 	 1	 sýna	 2 	 {'sýndu', 'sýndi', 'sýndist'}
41 	 1	 skilja	 j24 	 {'skildist', 'skildu', 'skildi'}
39 	 1	 ná	 0 	 {'náði', 'náðu', 'næðum', 'náðum', 'næði', 'næðist'}
39 	 S	 búa	 1 	 {'bjuggust', 'bjóst', 'byggi', '$bjuggu', 'bjuggu', 'bjó', 'bjuggum'}
38 	 1	 þekkja	 j24 	 {'þekktu', 'þekti', 'þekktum', 'þektu', 'þekkti'}
37 	 S	 snúa	 1 	 {'sneru', 'snerist', 'sneri', 'snerust'}
37 	 S	 hlæja	 j23 	 {'(vbdi hlógu', 'hlógum', 'hló', 'hlógu'}
35 	 S	 gefa	 24 	 {'gæfist', 'gáfu', 'gafs$', 'gáfum', 'gæfu', 'gæfi', 'gafst', 'gaf'}
35 	 S	 kveða	 24 	 {'kváðu', 'kvæði', '$kvað', 'kváðust', 'kvaddist', 'kvað', 'kvaðst'}
35 	 S	 hljóta	 1 	 {'hlutu', 'hlytist', 'hlytu', 'hlyti', 'hlaut'}
34 	 S	 bíða	 2 	 {'beið', 'biði', 'biðum', 'biðu'}
32 	 S	 bjóða	 1 	 {'bauðs$', 'byðist', 'bauðst', 'byði', 'bauð'}
29 	 1	 renna	 24 	 {'renndi', 'rann', 'runnu', 'rynni'}
29 	 S	 biðja	 j24 	 {'báðu', 'bað', 'bæði', 'baðst'}
28 	 2	 langa	 1 	 {'langaði'}
28 	 1	 mæla	 23 	 {'mæltist', 'mælti', 'mældu'}
27 	 2	 kalla	 1 	 {'kölluðu', '$kallaði', 'kallaði', 'kölluðum'}
27 	 1	 fylgja	 j24 	 {'fylgdust', 'fylgdi', 'fylgdist', 'fylgdu'}
26 	 1	 telja	 j24 	 {'töldu', 'teldu', 'töldum', 'teldi', 'taldi'}
26 	 S	 reka	 24 	 {'rak', 'ræki', 'rækir', 'rakst', 'ráku'}
26 	 S	 draga	 1 	 {'drægju', 'dró', 'drógust', 'dróst'}
25 	 S	 vinna	 24 	 {'vann', 'unnu', 'ynni'}
24 	 S	 heita	 24 	 {'hétu', 'héti', 'hét'}
23 	 S	 hefja	 j24 	 {'hófust', 'hófst', 'hóf', 'hófu', 'hæfist', '$hófst'}
23 	 2	 leita	 24 	 {'leitaði', 'leitaðist', 'leituðum', '$leit', 'leituðu'}
23 	 1	 vekja	 j24 	 {'vöktu', 'vekti', 'vakti'}
22 	 S	 detta	 24 	 {'datt', 'duttu', 'dytti'}
22 	 1	 byrja	 j24 	 {'byrjuðu', 'byrjuðum', 'byrjaði'}
22 	 1	 hætta	 23 	 {'hætti', 'hættu'}
21 	 1	 rétta	 2 	 {'$réttaði', 'rétti'}
21 	 S	 falla	 1 	 {'féllu', 'félli', 'féllst', 'féll'}
20 	 2	 vanta	 1 	 {'vantaði'}
19 	 S	 slá	 0 	 {'sló', 'slógu', 'slógum'}
19 	 2	 vakna	 1 	 {'vöknuðu', 'vaknaði'}
19 	 S	 grípa	 2 	 {'gripi', 'greip', 'gripu'}
19 	 S	 bregða	 24 	 {'brugðist', 'brá', 'brygði', 'brugðu'}
18 	 1	 benda	 24 	 {'bendum', 'benti', 'bentu'}
17 	 1	 lýsa	 2 	 {'lýstu', 'lýsti', '$lýsti'}
17 	 1	 bæta	 23 	 {'bætti', 'bættust', 'bættist', 'bætist'}
17 	 2	 opna	 1 	 {'opnuðust', 'opnaði', 'opnaðist'}
17 	 1	 brosa	 1 	 {'brosti'}
16 	 S	 ákveða	 124 	 {'ákváðum', 'ákvað'}
16 	 S	 hverfa	 24 	 {'hurfu', 'hvarf', '$hverfðist', 'hyrfi'}
