697 	 S	 koma	 1 	 {'kom', 'kvæmi', 'koms$', 'komum', 'kæmu', 'komust', 'kæmir', 'kvomu', 'kæmist', 'komu', 'komst', 'kæmi', 'kómu', 'komt', 'kemst', 'kómum'}
599 	 1	 mæla	 32 	 {'mæltust', 'mæla', 'mæltist', '$mæltu', 'mæltu', 'mælti'}
596 	 S	 fara	 1 	 {'færir', 'fórs$', 'fóru', '$fórst', 'fór$', 'færi', 'færu', 'fórum', 'fórst', 'fór', '(vbdi fór', 'færum'}
431 	 1	 þykja	 4j2 	 {'þótti', 'þættist', 'þóttist', 'þóttumst', 'þætti', 'þóttust', 'þóttu'}
426 	 1	 segja	 4j2 	 {'sagðir', 'sögðu', 'sögðuð', 'segðu', 'sagði', 'segði', 'sagðist', 'sögðust', '(vbdi sagði', 'sagðak'}
419 	 S	 taka	 1 	 {'tók', 'taka', 'tóku', 'tæki', 'tóks$', 'tókust', 'tókst', 'tókuð', 'tækju', 'tókum'}
384 	 S	 láta	 1 	 {'létu', 'látist', 'létuð', '$létu', 'lét', '$lét', 'létir', 'léti', 'létum', 'létust', 'lést'}
373 	 S	 kveða	 42 	 {'kvaðst', 'kváðuð', 'kvað', 'kvæði', 'kváðu', 'kváðust'}
358 	 S	 ganga	 1 	 {'gengju', 'gingi', 'gengu', 'gangi', 'gakk$', 'gekk', 'gingu', 'gengum', 'gekkst', 'gengi'}
297 	 S	 heita	 42 	 {'hést', 'héti', 'hétu', 'hét', 'heituðust', 'heitaðist'}
259 	 S	 eiga	 42 	 {'ættir', 'átta', 'ættu', 'áttu', 'átti', 'átt$', 'áttust', 'eigumst', 'át$', 'eigu', 'ættim', 'ætti', 'áttir', 'áttum'}
227 	 S	 biðja	 4j2 	 {'baðst', 'báðu', 'bæði', 'bæðu', 'bað'}
220 	 S	 sjá	 0j 	 {'sæju', 'sá', 'sæist', 'sáu', 'sáum', 'sá$', 'sæi', '(vbds sæi'}
208 	 S	 ríða	 2 	 {'riði', 'reið', '(vbdi riðu', 'riðu'}
166 	 S	 bera	 42 	 {'bar', 'bæri', 'báru', 'bárum', 'bærust', 'barst'}
146 	 1	 leggja	 4j2 	 {'lögðum', 'lögðust', 'lögðu', 'lagði', 'legðu', 'legði', 'lagðist', 'legðist'}
145 	 S	 fá	 0 	 {'fengist', 'fær$', 'fékk', 'fingi', 'fékkst', 'fengi', 'fingu', 'fengu', 'fenguð', 'fekk', 'fengust', 'fengju', 'fenga', 'fengir'}
145 	 S	 finna	 42 	 {'fyndist', 'fann', 'fyndust', 'finnast', 'fyndi', 'fyndu', 'fannst', 'fundu', 'fundust'}
144 	 S	 standa	 1 	 {'stæði', 'stæðu', 'stæðist', 'stóðst', 'stóðu', 'stóð'}
142 	 1	 spyrja	 4j2 	 {'spurði', 'spurðu', 'spurðust', 'spurðist'}
134 	 S	 gefa	 42 	 {'gafst', 'gæfist', 'gæfi', 'gaf', 'gæfir', 'gáfust', 'gáfu'}
121 	 S	 búa	 1 	 {'bjuggu', 'bjuggust', 'bjóst', 'bjó', 'bjoggust'}
113 	 S	 vita	 42 	 {'vitu', 'vissa', 'vituð', 'vissu', 'vissuð', 'vissum', 'vissi', 'vissir'}
107 	 S	 sitja	 4j2 	 {'sátu', 'sæti', 'sætust', 'sætu', 'siti', 'sat'}
107 	 S	 falla	 1 	 {'félli', 'féll', 'féllu', 'fell', 'féllst', 'fellu'}
95 	 S	 halda	 1 	 {'haldi', 'hélst', 'heldu', 'heldim', 'héldu', 'hélt', 'héldum', 'helst', 'héldust', 'héldi'}
91 	 2	 ætla	 32 	 {'ætlaðist', 'ætluðu', 'ætlaði', 'ætlaðir'}
88 	 S	 hlaupa	 1 	 {'hlypi', 'hlupust', 'hljópu', 'hlupu', 'hljóp', 'hljópumst'}
85 	 1	 senda	 42 	 {'sendi', 'sendu', 'sendir'}
83 	 2	 kalla	 1 	 {'kallaðist', 'kallaði', 'kölluðu'}
81 	 1	 sýna	 2 	 {'sýndu', 'sýndi', 'sýndist'}
75 	 S	 liggja	 4j2 	 {'lágu', 'lágum', 'lægja', 'lægi', 'lá'}
73 	 S	 bjóða	 1 	 {'bauð', '$bauð', 'byði'}
70 	 1	 kenna	 42 	 {'kenndum', 'kenndu', 'kenndi', 'kenndir', 'kennda'}
68 	 S	 ráða	 1 	 {'réðust', 'réðu', 'réð', 'réðist', 'réði', 'réðst'}
67 	 1	 veita	 42 	 {'veittist', 'veittim', 'veitti', 'veittu'}
64 	 1	 heyra	 432 	 {'heyrðuð', 'heyrðir', 'heyrðu', 'heyrði', '(vbdi heyrðum', 'heyrðum'}
63 	 1	 skilja	 4j2 	 {'skildi', 'skildu', 'skildum', 'skildust', 'skildist'}
59 	 2	 tala	 1 	 {'töluðust', 'töluðu', 'talaði', 'töluðuð'}
54 	 1	 setja	 4j2 	 {'setti', 'settust', 'settist', 'settu', 'settir'}
53 	 1	 fylgja	 4j2 	 {'fylgdir', 'fylgdi', 'fylgði', 'fylgdu'}
53 	 1	 þurfa	 1 	 {'þurfu', 'þyrftir', 'þurftu', 'þyrftu', 'þyrfti', 'þurfti'}
47 	 S	 kunna	 1 	 {'kunnir', 'kynni', 'kynnu', 'kunni', 'kann$', 'kunnum', 'kunnust', 'kunnu'}
46 	 2	 svara	 1 	 {'svöruðu', 'svaraði'}
43 	 S	 líða	 2 	 {'leið', 'liðu'}
42 	 1	 sækja	 3j2 	 {'sóttir', 'sóttu', 'sóttust', 'sótti', 'sóttist'}
41 	 1	 vilja	 4j2 	 {'vil$', 'vilda', 'vildu', 'vildir', 'vildi'}
41 	 S	 snúa	 1 	 {'sneri', 'snéru', 'snerist', 'snöri', 'sneru', 'snerust', 'snúimst'}
40 	 1	 frétta	 2 	 {'fréttu', 'fréttist', 'fréttir', 'frétti'}
39 	 2	 leita	 42 	 {'leitaðist', '$leit', 'leitaðir', 'leitaði', 'leituðu'}
39 	 S	 drepa	 42 	 {'drápu', 'dræpi', 'dræpir', 'drápuð', 'drap', 'dræpust'}
38 	 1	 beiða	 42 	 {'beiddust', 'beiddist', 'beiddu', 'beiðir', 'beiddi', 'beiðist'}
38 	 1	 hyggja	 4j2 	 {'hugði', 'hygðir', 'hugðist', 'hugðu', 'hygðu', 'hugðum', 'hygði'}
37 	 S	 höggva	 1 	 {'hjó', 'hjuggu'}
37 	 S	 bregða	 42 	 {'brá', 'brugðu', 'brást', 'bregð'}
36 	 S	 vinna	 42 	 {'unnu', 'ynni', 'vannst', 'vinnst', 'vann', 'unnum'}
36 	 1	 ná	 0 	 {'náðum', 'náðu', 'náðist', 'náði', 'næða', 'næði', 'næðim'}
34 	 1	 leysa	 432 	 {'leystu', 'leys$', 'leystir', 'leysti', 'leystist'}
33 	 1	 stefna	 42 	 {'stefndi', 'stefndu'}
32 	 2	 líka	 2 	 {'líkaði', 'líkuðu'}
31 	 S	 hverfa	 42 	 {'hurfu', 'hyrfi', 'hvarf', 'hyrfu', 'hurfum'}
31 	 1	 lifa	 42 	 {'lifðu', 'lifði'}
30 	 S	 ljúka	 1 	 {'lukti', 'lauk', 'laukst', 'lukust', 'luku', 'luktu', 'lyki'}
29 	 1	 dreyma	 432 	 {'dreymdi'}
29 	 1	 renna	 42 	 {'rann', 'runnu', 'renndist', 'renndi', 'renndu'}
28 	 2	 lofa	 1 	 {'lofuðu', 'lofaði'}
28 	 S	 draga	 1 	 {'drógust', 'dró', 'drógu', 'dróst'}
27 	 2	 anda	 1 	 {'andaðist'}
27 	 1	 flytja	 4j2 	 {'flytti', '$flutti', 'fluttu', 'fluttist', 'flutti'}
27 	 1	 trúa	 1 	 {'trúðu', 'tryði', 'trúði', 'tryðir'}
27 	 S	 líta	 2 	 {'leist', 'litu', '$litu', 'leit'}
