corpusname	iscds	ishistorical	pdgmsize	maxsat	meansat	mediansat	numtoken	numtype	tokentype
CHILDES-English	TRUE	FALSE	5	100	43.23144104803493	40	94768	916	103.46
CHILDES-German	TRUE	FALSE	29	44.827586206896555	7.586991487191558	6.896551724137931	96686	879	110.00
CHILDES-Spanish	TRUE	FALSE	67	52.23880597014925	08.31489976016418	04.477611940298507	81351	641	126.91
UDT-English	FALSE	FALSE	5	120	42.79837955749454	40	53796	3225	16.67
UDT-Finnish	FALSE	FALSE	150	27.33333333333333	02.461188569168397	01.3333333333333334	63891	3476	18.38
UDT-German	FALSE	FALSE	29	51.724137931034484	5.83445443602634	3.4482758620689653	21835	2826	7.73
UDT-Spanish	FALSE	FALSE	67	43.283582089552236	04.913415120244475	01.4925373134328358	85861	5019	17.11
UDT-Turkish	FALSE	FALSE	120	99.16666666666667	04.833519345238095	01.6666666666666666	12064	968	12.46
UDT-Gothic	FALSE	TRUE	52	53.84615384615384	06.305788920976635	03.8461538461538464	12749	1172	10.88
UDT-Latin	FALSE	TRUE	113	81.41592920353983	05.8981409360072824	02.654867256637168	99066	2833	34.97
